PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,"FT
Freq%","TOV
Freq%","SF
Freq%","And One
Freq%","Score
Freq%",Percentile
Oscar Tshiebwe,UTA,14,1.4,21.7,1.5,2.1,0.9,1.3,72.2,72.2,30,5,30,25,70,96.6
Fred VanVleet,HOU,60,0.4,2.4,1.36,0.5,0.2,0.4,47.6,66.7,4.5,0,4.5,0,50,90.5
Ochai Agbaji,TOR,64,0.4,4.3,1.15,0.5,0.2,0.3,59.1,61.4,7.7,11.5,7.7,3.8,53.8,62.8
Royce O'Neale,PHX,75,0.4,4.8,0.97,0.4,0.2,0.4,44.8,51.7,0,6.5,0,0,41.9,32.7
Jeremiah Robinson-Earl,NOP,66,0.5,8.3,0.86,0.5,0.2,0.5,33.3,41.7,8.6,8.6,8.6,2.9,34.3,18.2
Dominick Barlow,ATL,35,0.6,15.3,1.45,0.8,0.4,0.5,73.7,73.7,10,0,10,5,75,94.7
Kenrich Williams,OKC,69,0.4,6.9,1.04,0.4,0.2,0.3,50,60.4,0,14.3,0,0,42.9,41.7
Jonathan Isaac,ORL,71,0.5,9,0.78,0.4,0.2,0.5,34.3,37.1,8.1,2.7,8.1,5.4,35.1,11.3
Steven Adams,HOU,57,0.7,15.5,0.71,0.5,0.2,0.5,38.7,38.7,14.6,14.6,14.6,4.9,36.6,7.5
Kai Jones,DAL,12,1.4,19.5,1.65,2.3,1.1,1.3,81.3,81.3,11.8,0,11.8,5.9,82.4,99.2
Keldon Johnson,SAS,77,0.3,2.6,1.17,0.4,0.1,0.2,58.8,61.8,16.7,12.5,12.5,0,58.3,66.3
Grant Williams,CHA,16,1.9,18.7,0.9,1.8,0.6,1.6,34.6,46.2,6.5,9.7,6.5,0,35.5,22.3
Amen Thompson,HOU,69,0.4,3.2,0.9,0.4,0.2,0.3,50,50,13.3,13.3,13.3,0,46.7,21.8
Ausar Thompson,DET,59,0.6,5.6,0.79,0.5,0.2,0.4,37.5,37.5,17.6,11.8,17.6,0,44.1,13.9
Bradley Beal,PHX,53,0.4,2.6,1.18,0.5,0.2,0.4,57.9,60.5,9.1,4.5,9.1,0,59.1,68.9
Zaccharie Risacher,ATL,75,0.4,3.5,0.79,0.3,0.1,0.4,35.7,42.9,6.1,9.1,6.1,0,36.4,13.5
Dalton Knecht,LAL,78,0.2,2.9,1.39,0.3,0.1,0.2,64.7,73.5,0,5.6,0,0,61.1,92.9
Jrue Holiday,BOS,62,0.4,3.8,0.96,0.4,0.2,0.3,52.4,54.8,3.8,15.4,3.8,0,46.2,31.6
Jabari Walker,POR,60,0.5,9.2,0.93,0.4,0.2,0.4,45.8,50,11.1,3.7,11.1,3.7,44.4,26.3
Duop Reath,POR,46,0.9,20.7,0.63,0.5,0.2,0.8,25,31.9,2.5,7.5,2.5,0,25,3.4
Max Christie,LAL,46,0.3,4.4,1.5,0.5,0.2,0.3,64.3,67.9,18.8,0,18.8,6.3,68.8,96.6
Matas Buzelis,CHI,80,0.2,2.4,1.5,0.3,0.1,0.2,73.3,80,0,6.3,0,0,68.8,96.6
Johnny Juzang,UTA,64,0.3,3.9,1.14,0.4,0.2,0.3,47.6,54.8,4.8,0,4.8,4.8,47.6,59.5
Sam Hauser,BOS,71,0.3,4.8,1,0.3,0.1,0.3,34.8,52.2,0,4.2,0,0,33.3,36.3
Taj Gibson,CHA,37,1,28.5,0.65,0.6,0.3,0.8,36.7,36.7,2.7,16.2,2.7,0,32.4,5.3
Brandon Miller,CHA,27,0.8,3.7,1.04,0.9,0.3,0.6,41.2,52.9,18.2,9.1,13.6,4.5,45.5,42.8
Amir Coffey,LAC,72,0.3,3.6,1.04,0.3,0.1,0.3,36.8,47.4,13.6,0,13.6,0,45.5,42.8
Chris Boucher,TOR,50,0.5,5.5,0.96,0.5,0.1,0.4,36.8,39.5,25,0,20.8,4.2,45.8,30.9
Ricky Council IV,PHI,73,0.3,4.1,0.96,0.3,0.1,0.3,42.1,55.3,12.5,12.5,12.5,4.2,37.5,30.9
Nick Smith Jr.,CHA,60,0.5,4.5,0.77,0.4,0.1,0.5,27.6,37.9,3.3,3.3,3.3,3.3,26.7,9.8
Isaac Okoro,CLE,55,0.3,5.4,1.29,0.4,0.2,0.3,68.8,68.8,0,5.9,0,0,64.7,84.2
Stephen Curry,GSW,70,0.2,1.1,1.29,0.3,0.1,0.2,61.5,80.8,5.9,23.5,5.9,5.9,47.1,84.2
OG Anunoby,NYK,74,0.3,2,0.88,0.3,0.1,0.3,39.1,43.5,12,4,12,8,40,20.7
Tristan da Silva,ORL,74,0.4,5,0.79,0.3,0.1,0.4,37,40.7,0,3.6,0,0,35.7,11.8
Cody Martin,CHA,39,0.3,3.9,1.61,0.5,0.2,0.3,66.7,83.3,7.7,0,7.7,0,69.2,98.1
Dillon Brooks,HOU,75,0.3,2,1.05,0.3,0.1,0.3,42.1,52.6,5,0,5,0,45,44
Nicolas Batum,LAC,78,0.3,8.5,0.88,0.3,0.1,0.2,33.3,50,8.3,16.7,8.3,0,33.3,19.7
Drew Timme,BKN,9,2.8,20.3,0.84,2.3,1,2.6,39.1,43.5,8,4,8,4,40,17.3
Trey Jemison III,LAL,22,0.6,22.6,1.43,0.9,0.5,0.6,76.9,76.9,0,7.1,0,0,71.4,94.4
Brandin Podziemski,GSW,64,0.3,2.4,1.11,0.3,0.1,0.2,53.3,66.7,5.6,16.7,5.6,5.6,44.4,54.5
Zeke Nnaji,DEN,57,0.3,10.7,1.05,0.4,0.1,0.2,38.5,42.3,31.6,0,31.6,0,57.9,45.1
Jonathan Kuminga,GSW,47,0.4,2.7,1,0.4,0.1,0.3,46.7,46.7,15,10,10,0,50,36.3
Donovan Mitchell,CLE,71,0.3,1.5,0.83,0.3,0.1,0.3,33.3,40.5,8.3,4.2,8.3,0,37.5,16.6
Santi Aldama,MEM,65,0.4,3.4,0.77,0.3,0.1,0.4,34.8,39.1,7.7,7.7,7.7,3.8,34.6,10.2
Alex Reese,PHI,14,0.9,20.3,1.46,1.4,0.4,0.9,50,70.8,7.7,0,7.7,0,53.8,95.5
Payton Pritchard,BOS,80,0.2,1.5,1.27,0.2,0.1,0.2,42.9,60.7,6.7,0,6.7,0,46.7,80.5
Kyle Anderson,MIA,25,0.7,10.6,1.06,0.8,0.3,0.6,50,50,11.1,5.6,11.1,5.6,50,45.5
Simone Fontecchio,DET,75,0.3,4.1,1,0.3,0.1,0.2,37.5,46.9,10.5,5.3,5.3,0,42.1,36.3
Micah Potter,UTA,38,0.6,12,0.91,0.5,0.2,0.4,35.3,47.1,9.5,9.5,9.5,0,38.1,23
Stephon Castle,SAS,81,0.3,1.6,0.91,0.2,0.1,0.2,50,50,19,14.3,19,9.5,42.9,23
Nikola Jović,MIA,46,0.5,5.3,0.76,0.4,0.1,0.4,30,32.5,12,8,12,0,36,9.4
Jimmy Butler III,MIA,25,0.5,3.6,1.39,0.7,0.2,0.4,60,65,23.1,0,15.4,0,69.2,92.4
Kelly Oubre Jr.,PHI,60,0.2,1.5,1.39,0.3,0.1,0.2,63.6,77.3,23.1,7.7,23.1,15.4,53.8,92.4
Devin Vassell,SAS,64,0.2,1.3,1.39,0.3,0.1,0.2,63.6,72.7,7.7,7.7,0,0,61.5,92.4
Julian Strawther,DEN,65,0.2,1.7,1.7,0.3,0.1,0.1,77.8,94.4,0,10,0,0,70,100
Gradey Dick,TOR,54,0.2,1.3,1.7,0.3,0.1,0.2,66.7,83.3,10,0,10,0,70,100
Kyle Kuzma,WAS,32,0.3,1.9,1.54,0.5,0.2,0.3,60,80,9.1,0,9.1,0,63.6,97.4
Cole Anthony,ORL,67,0.2,1.9,1.31,0.3,0.1,0.2,46.2,57.7,15.4,0,15.4,15.4,46.2,86
Ousmane Dieng,OKC,37,0.4,9.3,1.21,0.5,0.2,0.3,54.5,72.7,7.1,14.3,7.1,0,50,75.2
Caleb Houstan,ORL,58,0.3,7.6,1.06,0.3,0.1,0.2,38.5,53.8,12.5,6.3,0,0,43.8,47.3
Haywood Highsmith,MIA,74,0.2,3.4,1.06,0.2,0.1,0.2,46.7,50,6.3,0,6.3,0,50,47.3
Tyus Jones,PHX,81,0.2,2,1.06,0.2,0.1,0.1,54.5,72.7,6.3,25,0,0,43.8,47.3
Kris Dunn,LAC,74,0.3,4.2,0.77,0.2,0.1,0.3,33.3,40.5,0,4.5,0,0,31.8,10.9
Justin Champagnie,WAS,62,0.2,2,1.6,0.3,0.1,0.2,60,80,0,0,0,0,60,97.7
Bogdan Bogdanović,LAC,30,0.4,3.4,1.46,0.5,0.2,0.3,60,70,9.1,0,9.1,0,63.6,95.1
KJ Martin,PHI,24,0.5,9.6,1.33,0.7,0.3,0.3,75,81.3,16.7,16.7,16.7,0,66.7,89.3
Jeff Green,HOU,32,0.4,8.5,1.33,0.5,0.2,0.3,63.6,72.7,0,8.3,0,0,58.3,89.3
